isbn13,title,sell px,offers,90d,stock,asr
9781789890778,Curious questions and answers Weather,8.78,12,1,1209,736135
9781787721173,Cute foil art,7.99,1,3,36,688421
9780749572549,Cycling in Wales,6.29,1,0,9,1287892
9781409374435,DK Castles and Knights sticker,5.39,2,0,5,1585110
9780241228463,DK Skeleton/poster,14.83,2,5,7,547950
9781409383390,DK Story of the Titanic,7.55,30,53,1166,24419
9780241331392,DK findout Animals,6.79,3,0,13,2000000
9780857332028,Daily mirror Loch Ness monster & other unexplained mysteries,7.82,7,0,1206,1678928
9780233005362,Darwin the man,6.07,8,2,159,968478
9781911130376,De Cipher codes,5.99,5,2,1018,36573
9780857836229,Diabetes Weight Loss Cookbook,10.99,18,1139,1190,1702
9781786178954,Digger playpack,8.97,3,0,304,2875233
9780955272370,Digging for victory,9.79,5,5,131,574238
9781786175212,Dinosaur adventure,8.79,6,1,317,1502119
9781787722040,Dinosaur don't open the box,7.71,5,0,0,2000000
9781788103985,Dinosaur land push pull turn,10.23,6,4,17,1034288
9781786174048,Dinosaur puzzle and colour playpack,6.13,5,0,421,3443627
9781782403999,Dinosaurs in 30 seconds,7.98,3,1,19,1401668
9781847808264,Discover the Roman Empire,5.43,4,3,159,351082
9781783124121,Discovering Titanic hardback,9.78,5,2,1009,969629
9781909815421,Do ahead Christmas,7.57,14,3,1674,502424
9781910562413,Do you remember the 1940's,6.72,4,2,2149,1612366
9781910562451,Do you remember the 1980's,6.72,4,2,1768,914953
9781910562444,Do you remember 1970's,6.72,5,2,2144,1016517
9781787721135,Dolly dressing girls rule,7.79,10,0,1011,5062459
9781906032746,Don't even think about it,6.17,5,2,6,1537106
9781786707666,Dot to Dot sticker farm animals,3.11,11,0,2,5090898
9781784285357,Dot to dot around the world,3,5,2,80,1214588
9781405270540,Doughnuts for a dragon,4.54,20,24,3164,24442
9781911509134,Dress up Jane Austen,6.59,14,3,1159,319811
9780857332967,Edwardian housewife's companion,5.99,4,1,19,1102833
9781783120093,Egyptworld discover the wonders,6.7,10,0,122,2168136
9780857809179,Elephant finger puppet,4.8,1,0,8,2963859
9781911595076,"Elizabeth, Queen and Crown",7,12,2,4117,982250
9781445410388,Encyclopedia British History,9.98,5,0,6,3840552
9781783421008,Encyclopedia herb gardening,5.26,5,3,14,1077149
9780752491103,English castle story,5.02,16,2,99,1590622
9780603573767,Enid Blyton Magic Faraway tree treasury,6.99,3,2,9,605116
9781783831531,Evacuees,8.25,13,3,18,439470
9781783419296,F is for farm,7.34,17,0,341,3928617
9781787720367,Fairy magic,3.29,4,1,4,1165842
9781908005465,Fairy tale knits,12,6,3,20,410804
9781631062056,Fairy tales of Hans Christian Anderson box,13.33,3,3,22,210791
9781474926898,Fairy unicorn Magic forest,3.92,18,15,921,117118
9781474926904,Fairy unicorn cloud castle,5.22,17,31,2192,99978
9781474926928,Fairy unicorn enchanted river,6.27,6,11,23,186180
9781474926942,Fairy unicorn star spell,5.22,17,21,1674,32982
9781848990081,Family camping cookbook,9.4,15,24,210,244866
9781781590157,Famous brand names,5.98,8,2,1154,661896
9781786178411,"Farm Storybook, building and playmat",7.07,3,0,302,6461783
9781909645899,Farm sticker book scribblers,4.99,2,2,10,1529686
9781409598190,Farmyard Tales Hungry Donkey,4.1,3,2,4,1367250
9781784724368,Farrow and ball recipes for decorating,15.99,20,111,1149,13851
9781845436155,Field guide to knots,9.89,3,2,5,714603
9781786178428,"Fire Station Storybook, building and playmat",9.99,3,0,1299,2000000
9781782436997,Fire woman - story of Britain's 1st female firefighter,4.49,12,9,1356,413899
9781405281614,Fireman Sam Pontypandy winter rescue,4.99,2,26,150,18913
9780233005324,First world war,32.25,2,2,6,815462
9781409537793,First world war cards,5.94,4,2,1104,1319147
9780233005232,First world war in 100objects,7.99,8,3,296,1119878
9781409570240,First world war usborne history,4.07,15,14,1261,375654
9781906417062,Fish cook Aldo Zilli,4.75,7,2,1,799833
9780750969970,Fishing boats story,7.03,17,12,203,184661
9781786484772,Five go bump in the night,4.79,21,15,1299,209791
9781488933783,Flags of the world,11.42,6,1,1,2927589
9781780555850,Flight school,5,15,4,753,317237
9781784680701,Floortime farmyard,3.1,8,0,1,4269181
9781910258613,Flowers fruit and vegetables giftwrap,5.05,4,2,17,399609
9781786850171,For the best Dad ever,5.8,5,2,1005,1827530
9781783350124,For who the bell tolls,7.78,6,4,24,622577
9781786031624,Fuzzy Animals touch and feel colouring in,6.29,2,3,4,899406
9781786031648,Fuzzy Dinosaurs touch and feel colouring in,7.15,4,5,23,604582
9781782437215,Games from childhood,6.05,4,2,7,944716
9781786178404,"Garage Storybook, building and playmat",9.99,3,0,1299,2000000
9781861088031,Gardening with wild plants,4.65,10,3,61,1017870
9780751564006,Gentleman's Gentleman,6.77,5,4,13,655180
9781911127987,Geometric origami,8.78,3,0,5,5208710
9781908786739,George and the knight activity,5.8,2,0,3,3863048
9781407109992,George's dragon,4.43,4,1,81,811370
9781409599708,Georgians,9.28,4,6,109,806966
9781782404682,Get fit with your dog,3.75,6,2,15,793142
9781788389013,Gin shopping list,7.99,1,2,1,1214293
9781906388201,Give a cat a home,2.81,9,0,123,2636309
9781911632016,Gloriously Gluten free,7.61,24,3,1071,467879
9781488914850,Glow in the dark dinosaur sticker atlas,7.99,10,0,1011,2000000
9781787720619,Glow in the dark space,4.99,8,0,2,2000000
9780008357894,Good housekeeping Express cook,8.48,20,26,2151,26809
9781905400720,Good old fashioned roasts,15.55,1,2,4,593324
9780857833846,Goodness of Greens,4.99,10,2,344,1188042
9780857833822,Goodness of garlic,6,3,5,6,596871
9781843173083,Grandad's best book everything,16.99,3,1,79,829690
9781782438243,Grandmother's wisdom,7.8,2,2,4,638720
9781445647708,Great British Eccentric,8.41,2,3,603,1528225
9780753730423,Great British cars 1920-1970,9.98,3,0,77,2000000
9781741855821,Great big book amazing activities,24.99,1,0,6,5713386
9781473833708,Great war illustrated home front,4.49,4,0,1089,3005968
9781473856684,Great war through picture postcards,11.5,10,3,113,985597
9781472916440,Green guide to garden Wildlife,5.24,8,0,12,2090176
9781472916488,Green guide to trees,5.78,20,3,101,1223109
9781472927200,Green guide to wild flowers,5.79,19,2,101,1271353
9781907967474,Grumpy cat,5.9,11,3,1169,633721
9781782439400,Grumpy old git quiz book,7.71,11,22,281,173598
9781848848122,Guide to wartime collectables,10.59,5,1,1005,1825175
9780785836308,Guitar chords handbook,11.6,3,3,1059,1825175
9781407152622,HH Terrifying Tudors sticker activity,4.29,7,8,200,320831
9781408896389,Hail Mary,7.25,17,2,163,1362966
9781782095729,Handbook Rocks and minerals,7.27,3,0,301,4025274
9781782091660,Handbook Space,5.29,5,0,319,2694041
9781782091691,Handbook butterflies and moths,4.03,5,2,1104,2020971
9781782492429,Handmade Christmas,5.75,3,0,27,777517
9781488910876,Happy and healthy habits,5.5,6,0,144,4101463
9781907732263,Hart of England,14.46,4,0,9,2956716
9781784937478,Have you heard,7.79,1,2,4,425896
9781785782091,Headline Britons 1921-1925,4.29,21,1,1125,2577250
9781785782107,Headline Britons 1926-1930,4.43,19,0,1139,2783213
9781742665757,Healthy living high cholesterol,15.28,1,0,2,1691447
9781848861602,Hedgehugs Picture flat,6.25,17,3,1268,487091
9781910231050,Hello Crochet,2.7,15,1,7,602113
9780723271673,Hello Kitty friends finger puppet,4.34,5,0,72,3175356
9781909815964,Hello Knitting,11.3,1,0,1,2000000
9781910231043,Hello Sewing,4.99,16,3,14,838616
9781907892288,Her Ladyship's guide to British Season,4.98,19,2,1747,1038313
9781786069023,Hidden Army,8.24,19,3,1183,920757
9781783122233,Holocaust,14.79,3,0,9,3034356
9781504800396,Home Brewing,6.55,12,3,1152,768328
9781446303771,Home quilt Home,8.51,9,10,1073,418664
9781472140678,Homemade cocktails,5.79,15,5,1219,496056
9781787390539,How do you turn water into wine,3.99,14,2,1113,344311
9781848319998,How many moons does the earth have,14.53,1,0,5,2000000
9781844582556,How things grow from caterpillar to butterfly,5.39,1,0,59,10761066
9780716022237,How to draw anything,4.21,17,49,167,3395
9780233005669,How to live in space,8.79,19,2,1656,715571
9781786641960,How to paint made easy,5.99,11,3,252,1315218
9781472141538,How to store your home grown produce,7.51,9,4,438,205435
9781787390812,How to survive a duel,6.75,2,3,5,933210
9781684127078,Hush says duck,11.29,1,0,999,2000000
9781784979690,Hut of one's own,5,21,2,155,705327
9780062409089,I am Otter,5.3,11,2,62,1337541
9781783122530,I explore Bugs,12.79,1,6,4,480595
9781407145075,I was there Alone in the Trenches,3.78,15,9,1462,407712
9781407148847,I was there Boudica's army,7.79,1,2,2,519981
9781407145044,I was there Richard III,4.24,13,5,2017,574709
9781407145051,I was there Royal Nursemaid,4.24,4,6,116,460240
9781407148861,I was there Titanic,4.67,3,10,1100,24575
9781848696969,I'm not sleepy,4.89,4,3,18,596948
9781783614059,Identifying birds,9.99,2,3,2,1108748
9781783611300,Illustrated book children's verse,16.06,4,0,5,2233298
9781783611102,Illustrated book of romantic verse,6.99,1,1,3,1127045
9781786174383,Illustrated classic Secret Garden,16.48,4,0,1153,2000000
9781844769407,Illustrated cook's guide cheeses,14.71,1,3,51,245245
9781780192178,Illustrated guide Aircraft carriers,9.44,20,1,1224,1629324
9781844865222,In Their own words,17.33,18,2,1282,1202399
9780753441091,In focus Bugs,6.31,14,2,252,582673
9781844861378,In search of South Pole,8.13,2,2,220,709090
9781407553900,Indian love food,8.99,1,2,24,1493645
9780847839902,International tennis federation,14.29,12,0,1151,2709860
9780760354360,Invasion story of D-Day,5.73,2,0,2,4246508
9780714870021,Italian cooking Pasta,9.95,1,17,999,161787
9780714870014,Italian cooking Pizza,7.99,16,9,1232,268008
9781633221604,Itsy Bitsy Spider,4,5,0,56,3992007
9781786920935,Itsy bitsy spider jigsaw and book,5,1,0,1,2000000
9781788389556,Jack Vettriano Billy boys journal,5.73,10,1,1209,1318917
9781788389594,Jack Vettriano Bluebird at Bonnneville journal,5.65,13,1,1309,1041008
9780233005140,Jane Austen treasury,6.7,9,2,65,946766
9780760360217,John Deere century,24.99,3,7,1001,547857
9780008314279,Joyful home cook,12.76,19,29,1138,9602
9781782099703,Junior Picture Dictionary,10.8,1,5,10,549740
9781782702085,Junior art colour-in mazes jungle fun,1.99,2,2,1010,2386850
9781786178589,Junior encyclopedia,12.8,2,6,8,204485
9781788286138,Kew gardens beautiful flowers dot to dot (one only),5.27,11,6,147,360993
9780785824558,Keyboard player's chord bible,21.78,1,2,4,1878491
9780753441480,Kingfisher Space encyclopedia,7.07,5,0,215,1379974
9781409577621,Kings and queens to colour,3.49,5,0,149,1773982
9780091957582,Kitchen Orchard,10.99,3,6,63,850522
9781907892011,Kitchen garden tomatoes,3.74,10,1,1130,2280976
9781409544173,Knights and castles things to make and do,3.28,4,2,90,577898
9781409582120,Knights and castles to colour,4.56,1,0,51,1122772
9781474903356,Knights handbook,5.98,2,4,6,1579712
9780754828556,Knights templar,8.43,2,2,102,588282
9781782491941,Knitting basics,5.78,4,3,12,454525
9780241364369,Knowledge encyclopedia Dinosaur,12.79,3,10,7,257567
9781849547956,Lady Constance Lytton suffragette,9.78,6,2,18,1051721
9781787412330,Lady of leisure challenge book,5.96,15,3,155,432408
9781471161025,Lady of the Rivers,5.79,2,0,5,2103576
9780718188849,Ladybird Grown-up picture book,3.95,28,16,1127,386178
9780718188665,Ladybird The EX,2.99,22,20,139,58022
9780718188856,Ladybird The New you,6.39,20,31,1115,243940
9780718188689,Ladybird The Quiet night in,6.16,21,27,1105,216354
9780718188672,Ladybird the Big night out,4.79,21,38,1044,181580
9780857337177,Lancaster inside story,4.54,3,2,8,1342859
9780750947602,Lancaster story,6.22,17,4,219,488744
9781849757638,Layered desserts,5.33,5,4,1798,605590
9781849497534,Learn to crochet love to crochet,41.78,2,0,3,2000000
9781408879184,Let's draw sea animals,4.74,14,3,1157,1570489
9781909242708,Letters and news from trenches,2.78,7,1,13,1740299
9781849838320,Letters to the editor,12.34,1,2,5,1256217
9781782434351,Life below stairs,41.09,3,2,4,480139
9781406270532,Life during the Industrial revolution,13.79,1,3,3,872638
9782352500674,Life of a knight,13.97,8,0,1008,5876304
9781788107754,Life size Bugs,15.65,1,2,999,1712681
9781626869424,Lift and Learn In the Forest,11.1,3,1,4,1678925
9781783708420,Little Grey Rabbit Knot squirrel tied,4.99,11,4,1156,369648
9781783708789,Little Grey rabbit Moldy old Warp the mole,4.99,18,4,1256,376592
9781789057584,Little Lamb finger puppet,3.59,3,0,1,2000000
9781909217218,Little book flight,6.2,3,0,1004,10351577
9781908489319,Little book of wetland bird sounds,12.99,1,18,32,80318
9781760527563,Little curry cookbook,5.37,13,7,52,498118
9781783703951,Little grey rabbit wise owl,5.02,17,4,1253,426208
9781405291019,Little miss splendid moves house,4.74,5,3,80,614422
9781760634360,Little pizza cookbook,6.9,16,8,1172,710146
9781848691605,Little snappers in the jungle,5.99,2,2,2,439227
9781782436287,Long and the short of it,6.02,5,5,1012,814145
9781474937450,Look and find bugs,7.79,4,3,35,828578
9781474941594,Look and find on the farm,7.79,2,4,17,574990
9781408896396,Lord's Prayer,9.38,19,2,1240,910291
9781912213115,Lost Lines Bangor to Afon Wen,5.94,14,4,1234,198619
9781912050680,Lost lines Shrewsbury to Aberystwyth,7.66,12,12,1234,110690
9781616289331,Luscious fruit desserts,9.45,3,0,1001,4099587
9781579129323,Mad Science,9.49,16,2,76,1468690
9781407188904,Magic unicorn journal,4.37,12,2,4132,953913
9781787722460,Magical fun activities and press outs,6.99,1,0,36,2000000
9781472323477,Make and bake cupcakes,6.93,5,1,10,1590288
9781786271914,Make your own farm,12.65,3,4,127,707045
9781845299439,Mammoth book of Beatles,4.99,8,4,23,99650
9780810984134,Mammoths and Mastodons,28.77,6,1,7,1948048
9781783423002,Maps and navigation Bear Grylls,4.54,24,23,1175,32568
9780062797759,Marine knots,13.72,2,9,4,408618
9781841651286,Maritime Britain,6.59,4,0,6,1815185
9781408862667,Marmaduke very popular dragon,6.97,2,8,30,442078
9780241333389,Master chef amazing mains,9.78,9,15,1,346404
9780241333365,Master chef prepare ahead,8.48,6,3,23,531096
9780241333372,Master chef sensational puddings,8.47,9,7,4,441325
9780241333358,Masterchef quick wins,7.99,6,9,14,424104
9780224101622,Maths on the go,7.51,9,15,1281,161043
9781474930215,Medieval fashion picture book,7.89,2,1,16,2108049
9781849542371,Memories of the Falklands,5.17,4,2,1,1385624
9780957261099,Michael Caine 1960's,10.26,6,3,190,1102049
9781782094425,Mini encyclopedia British wildlife,5.75,6,2,104,737345
9781782094470,Mini encyclopedia Rocks and fossils,4.99,7,4,104,1105454
9780752462820,Mini story,7.66,9,5,223,500061
9780857337276,Mirror - History that time forgot,7.74,6,0,12,2656733
9781787390935,Modern puzzles,4.53,19,3,1245,1172654
9781841814667,Modern yoga bible,7.66,10,49,170,80791
9781910851852,Monster food finger puppet,4.99,12,0,1161,7412183
9781787390232,Moto GP,16.31,6,4,1004,150304
9781843652236,Mouse mischief,7.98,3,2,43,1786800
9781781317969,Must I repeat myself,5.25,25,30,1797,157567
9781909815438,My Cool Scooter,9.79,8,15,4139,402470
9781862338135,My Favourite food,4.3,2,0,29,6073369
9781408876794,My French words,4.99,2,11,11,323616
9781788387088,My Garden Giftwrap,6.4,2,0,950,2000000
9781407120713,My Story Catherine of Aragon,6.2,1,3,6,380676
9781787720145,My first animals,6.48,13,0,1024,4834136
9781407146089,My story Anne Boleyn,7.15,1,2,2,330877
9781407146072,My story Great plague,7.75,3,3,35,513776
9781407165752,My story Viking Blood,11.09,2,2,1,1101054
9781407178639,My story war stories,6.11,15,2,2345,1218691
9781910904725,My tiny home farm,7,7,3,166,726927
9781783461837,Nation in arms,14.99,3,3,1052,959620
9780859651653,Nation of Shopkeepers,6.65,11,3,1386,181579
9781909612457,Naturalist guide butterflies,5.59,6,0,17,1835861
9781909767416,Nature puzzles Bugs and Butterflies,5.99,14,0,999,2975739
9781909767423,Nature puzzles Woodland animals,7.74,4,0,20,2263410
9781409577706,Nature trail Wild flowers,6.19,3,2,11,1735200
9781906122003,Nature's plaything,3.3,3,1,15,2123584
9780565093556,Nettle cookbook,6.75,20,5,326,458094
9781910562963,Never too old,5.19,5,0,1925,1665309
9781781316399,New Views,7,14,4,196,491465
9781472913791,Nick Baker's bug book,6.2,22,4,68,541388
9781406326109,Noah's ark and other bible stories,3.49,22,2,168,429435
9780785834786,Noble horse,11.49,20,22,1057,77874
9781910254578,Nostalgic delights,14.8,19,21,1058,140253
9781847172358,Nursery Rhymes,8.79,3,2,1018,1058230
9781843405221,Nursery stitch 20 projects,3.54,7,0,42,6526596
9781910562956,Older and a whole lot wiser,5.36,4,0,2149,2000000
9781406305630,Oliver twist and other dickens stories,4.88,7,0,1093,2000000
9780711245358,On the farm touch and feel,6.82,20,0,1179,1365417
9781509878925,One Ted falls out of Bed,6,1,0,10,2000000
9781783422197,One and only casseroles and stews,7.9,2,4,74,483898
9781789580235,One and two touch and feel,5.39,20,2,1262,677771
9780753732991,One pot student cookbook,5.84,3,0,2,65596
9781788387521,Owl Memo block,12.79,1,1,1,2356545
9781843406747,Parlour games,5.79,3,3,107,1064236
9781781853351,Peace and war Britain 1914,4.76,11,1,1160,2503871
9781781852538,Peace and war in Britain 1914,6.19,14,2,155,906409
9781847463975,Peak district,3.95,3,1,7,4118023
9781846973833,Peaks and Troughs,5,21,4,1229,530658
9781906502652,Pedro life and death fighter pilot,9.3,5,3,77,1416933
9781474865784,Peek a boo I can say please ( 1 copy only),2.99,14,0,1,1886698
9781474871464,Peek a boo hello Christmas,4,1,0,2,1856871
9781786929266,Peek-through Old Macdonald had a farm,4.98,4,0,51,1512271
9781786923851,Peek-through wheels on the bus,4.23,2,1,4,760210
9781787720930,Peekaboo Unicorn,6.79,10,0,82,1994039
9781787720091,Peekaboo play pets,6.79,1,0,57,2000000
9781849073134,Phillip's Stargazing with Mark Thompson,3.23,14,2,127,858749
9781488940910,Phonics pull the tab,6.77,5,0,102,3214845
9781783705443,Pictura Wild Wonders,4.98,10,2,147,1900810
9781787131873,Pies and Tarts for all seasons,8.95,7,12,236,227647
9781907708695,Place in history,7.95,3,2,6,800934
9781783120413,Pocket activity horse and pony,2.12,11,0,264,6932968
9781785575334,Pocket chef Juicing,5.79,4,0,77,2000000
9781472966117,Pocket guide birds,5.62,18,0,157,4983871
9781786172990,Poems for children,7,4,0,402,1231294
9781445444338,Polar Regions,2.81,3,0,4,11407633
9781488934797,Pom Pom forest friends,7.99,1,2,1132,1265786
9781742819860,Pom pom pets,6.25,14,4,1135,412911
9781784932893,Pop out stencil art safari animals,7.84,3,2,473,718785
9781910500163,Poppyganda,5.71,6,0,211,1310436
9781910258767,Posh dogs,6.48,14,3,1175,610337
9781849310925,Power of spices,6.75,3,4,146,1476740
9781780193250,Practical guide fish and shellfish,7.52,7,0,1042,6853603
9780750967754,Pretty Nostalgic,5.45,16,2,1154,1582329
9781780550442,Pretty flowers colouring book,4.87,2,2,52,731925
9781784407001,Primary explorers Space,4.06,4,0,886,8503796
9781786174055,Princess play pack,6.13,6,0,432,12983082
9781786175298,Project Bugs,7.49,15,2,1222,1467233
9781509842735,Pussy cat what can you see,5.42,15,5,1230,133714
9781409539544,Queen Elizabeth II,4.91,1,4,41,950506
9781849903257,Question of sport quiz book,5.89,9,21,1191,194318
9781906670481,RAF 100 Cookbook,14.82,7,15,146,130357
9781784725891,RHS 50 plants that you can't kill,8.74,24,26,267,56526
9780750961363,RMS Titanic the wider story,12.99,2,3,7,930788
9781472921833,RSPB spotlight Eagles,8.75,18,3,1154,420391
9781911604457,Reaching for the sky,4.99,15,15,141,412288
9781626867277,Read build play farm,72,2,0,2,2000000
9781910232293,Real British citizenship test,9.13,3,2,4,882300
9781910684665,Record breaking bugs Flying insects,6,2,0,2,7032254
9781910684658,Record breaking bugs Super Spiders,7.12,2,0,1000,2000000
9781471161018,Red Queen (philippa gregory),5.78,3,0,60,2664022
9781789580242,Red and blue touch and feel,5.99,18,2,1295,1734168
9780750944465,Red arrows story,6.19,6,8,30,388971
9781925546163,Reed mini guide Birds,4.75,15,1,1080,2247468
9781925546248,Reed mini guide animals,5.26,11,0,1154,2000000
9781925546194,Reed mini guide butterflies,4.99,10,0,1153,1729731
